0	correct	representation.numeric.integer_number	offset-in-ms written as bare integer
1	correct	representation.numeric.decimal_number	ms offset written as decimal
2	wrong	representation.discrete.categorical	tz abbreviation code (EDT) — discrete vocabulary
3	wrong	representation.discrete.categorical	CEST tz abbreviation — discrete code vocabulary
4	wrong	representation.discrete.categorical	tz abbreviation code, discrete vocabulary
5	wrong	representation.discrete.categorical	tz abbreviation code, discrete vocabulary
6	wrong	representation.discrete.categorical	tz abbreviation code, discrete vocabulary
7	correct	representation.numeric.integer_number	bare integer ms offset
8	correct	representation.numeric.integer_number	bare integer ms offset
9	wrong	datetime.timestamp.sql_standard	values have HH:MM:SS — exact sql_standard pattern
10	correct	representation.text.plain_text	values are news ledes; header is a stray date
11	correct	representation.numeric.decimal_number	ms offset written as decimal
12	correct	representation.numeric.integer_number	bare integer ms offset
13	correct	representation.numeric.integer_number	bare integer ms offset
14	correct	representation.numeric.decimal_number	ms offset written as decimal
15	correct	representation.numeric.decimal_number	ms offset written as decimal
16	wrong	datetime.timestamp.dmy_hm	D/M/YYYY HH:MM datetime — dmy_slash is date-only
17	unsure		DMY slash + HH:MM:SS; no DMY-24h key exists
18	wrong	datetime.timestamp.sql_standard	YYYY-MM-DD HH:MM:SS — timestamp, not DATE
19	wrong	representation.discrete.categorical	CST/AKST/MST/PST/EST — closed tz-abbrev vocabulary
20	correct	representation.numeric.integer_number	tz offset in ms as bare integer
21	wrong	datetime.timestamp.iso_8601	T-separated ISO datetime, not bare date.iso
22	correct	representation.text.plain_text	news article text
23	wrong	datetime.offset.iana	Pacific/Pitcairn etc. are IANA tz names
24	wrong	datetime.timestamp.iso_8601_milliseconds	.987Z millisecond ISO timestamps, not DATE
25	correct	representation.numeric.integer_number	all 0 — integer written form
26	correct	datetime.date.dmy_slash	DD/MM/YYYY date-only, matches pattern
27	correct	datetime.epoch.unix_seconds	1548353395 = Jan 2019, monotone log times
28	correct	representation.discrete.categorical	small repeating status vocabulary; one messy concat doesn't refute
29	wrong	datetime.offset.iana	America/New_York is an IANA tz name
30	wrong	representation.boolean.terms	false/false — boolean words, not TLD
31	wrong	representation.boolean.terms	boolean words
32	correct	technology.internet.url	full https:// URLs
33	wrong	geography.address.full_address	street + city, state ZIP — complete postal address
34	wrong	representation.boolean.terms	true/false values
35	wrong	representation.boolean.terms	boolean words
36	wrong	representation.identifier.alphanumeric_id	letter+digit identifier
37	wrong	representation.boolean.terms	boolean words
38	correct	representation.text.plain_text	GCP resource path; no path/URI key fits
39	wrong	representation.identifier.alphanumeric_id	letter+digit identifier
40	wrong	representation.discrete.categorical	Father — relation enum, not TLD
41	wrong	representation.identifier.alphanumeric_id	letter+digit identifier
42	correct	representation.numeric.decimal_number	Dec = astronomical declination; decimal written form
43	wrong	representation.numeric.decimal_number	52-week price change, not latitude despite range
44	correct	representation.numeric.decimal_number	z-score exposure values
45	correct	representation.numeric.decimal_number	GPA feature float, not latitude
46	wrong	representation.numeric.decimal_number	52-week-high price, not latitude
47	correct	representation.numeric.decimal_number	logloss metric
48	correct	representation.numeric.decimal_number	elapsed ms as decimal
49	correct	representation.numeric.decimal_number	elapsed ms as decimal
50	correct	representation.numeric.decimal_number	fractional elapsed time, not an epoch format
51	correct	representation.numeric.decimal_number	cluster score
52	correct	representation.numeric.decimal_number	starch % measurement
53	correct	representation.numeric.decimal_number	z-scores
54	correct	representation.numeric.decimal_number	z-scores
55	correct	representation.numeric.decimal_number	numeric feature
56	correct	representation.numeric.decimal_number	house price in $10k units
57	wrong	representation.numeric.decimal_number	price change, not latitude
58	correct	representation.numeric.decimal_number	stellar magnitude feature float
59	correct	representation.numeric.decimal_number	GPA-like floats
60	correct	geography.coordinate.longitude	Lng header, tight 2.36 cluster (Paris)
61	correct	geography.coordinate.longitude	Lng header, consistent Paris-range values
62	correct	geography.coordinate.longitude	Lng header, consistent longitudes
63	correct	geography.coordinate.longitude	Lng header, consistent longitudes
64	correct	geography.coordinate.longitude	lon header, -71..-77 US east-coast longitudes
65	correct	representation.numeric.integer_number	day counts; header lens longitude is spurious
66	correct	geography.coordinate.longitude	Lng header, consistent longitudes
67	wrong	representation.numeric.integer_number	longTermDebt = dollar amounts; epoch match is coincidence
68	correct	geography.coordinate.longitude	valid -79..-83 longitudes
69	wrong	representation.text.entity_name	company name (Corporation) — entity_name covers org names
70	wrong	representation.text.entity_name	company name with Inc. suffix
71	correct	geography.coordinate.longitude	explicit header, all values in valid range
72	wrong	representation.text.entity_name	company name with Inc. suffix
73	wrong	representation.text.entity_name	company name with AG suffix
74	correct	representation.text.plain_text	XML doc-comment member strings
75	wrong	representation.text.entity_name	company name with Inc. suffix
76	wrong	representation.boolean.terms	true/false values, not TLD
77	correct	representation.numeric.integer_number	all 1s — integer form
78	correct	representation.numeric.decimal_number	velocity component, exceeds coord ranges
79	correct	representation.numeric.decimal_number	velocity component
80	correct	representation.numeric.decimal_number	velocity component
81	correct	representation.numeric.decimal_number	velocity component
82	correct	representation.numeric.decimal_number	bare 100.0, no % sign; decimal written form
83	correct	representation.numeric.decimal_number	price series
84	correct	representation.numeric.decimal_number	price series
85	correct	representation.numeric.decimal_number	velocity component
86	correct	representation.numeric.decimal_number	price series
87	correct	representation.numeric.decimal_number	velocity component
88	correct	representation.numeric.decimal_number	headerless numeric column, plain decimals
89	correct	representation.numeric.decimal_number	velocity floats, -112.4 breaks any latitude reading
90	correct	geography.location.city	TEAM_CITY + Orlando is a city name
91	correct	geography.location.city	Philadelphia under TEAM_CITY
92	wrong	geography.location.city	Washington under TEAM_CITY is the city, not a state/region
93	correct	geography.location.city	Phoenix under TEAM_CITY
94	correct	geography.location.city	Philadelphia under TEAM_CITY
95	correct	geography.location.city	Eschborn is a German city
96	correct	geography.location.city	Texas city names
97	correct	geography.location.city	ROSEVILLE under City header
98	correct	geography.location.city	Toronto
99	correct	geography.location.city	Houston
100	correct	geography.location.city	Nevada cities under Provider City
101	correct	geography.location.city	mostly real cities; one junk "Global" doesn't overturn
102	correct	geography.location.city	Arizona cities
103	correct	geography.location.city	Montana cities
104	correct	geography.location.city	Vermont cities
105	correct	geography.location.city	West Virginia cities
106	wrong	geography.address.full_address	values are full multi-line street addresses, not city names
107	correct	geography.location.city	Reading/Sudbury/Vancouver
108	wrong	representation.discrete.categorical	game map asset tokens, low-cardinality enum not cities
109	wrong	geography.address.full_address	full multi-line addresses despite ADDRESS CITY header
110	wrong	geography.address.full_address	full addresses incl. APO/PSC lines
111	correct	geography.location.city	guangzhou/wuhan/changsha are cities
